,DATE,Sales
1,1992-02-01,3458
2,1992-03-01,4002
3,1992-04-01,4564
4,1992-05-01,4221
5,1992-06-01,4529
6,1992-07-01,4466
7,1992-08-01,4137
8,1992-09-01,4126
9,1992-10-01,4259
10,1992-11-01,4240
11,1992-12-01,4936
12,1993-01-01,3031
13,1993-02-01,3261
14,1993-03-01,4160
15,1993-04-01,4377
16,1993-05-01,4307
17,1993-06-01,4696
18,1993-07-01,4458
19,1993-08-01,4457
20,1993-09-01,4364
21,1993-10-01,4236
22,1993-11-01,4500
23,1993-12-01,4974
24,1994-01-01,3075
25,1994-02-01,3377
26,1994-03-01,4443
27,1994-04-01,4261
28,1994-05-01,4460
29,1994-06-01,4985
30,1994-07-01,4324
31,1994-08-01,4719
32,1994-09-01,4374
33,1994-10-01,4248
34,1994-11-01,4784
35,1994-12-01,4971
36,1995-01-01,3370
37,1995-02-01,3484
38,1995-03-01,4269
39,1995-04-01,3994
40,1995-05-01,4715
41,1995-06-01,4974
42,1995-07-01,4223
43,1995-08-01,5000
44,1995-09-01,4235
45,1995-10-01,4554
46,1995-11-01,4851
47,1995-12-01,4826
48,1996-01-01,3699
49,1996-02-01,3983
50,1996-03-01,4262
51,1996-04-01,4619
52,1996-05-01,5219
53,1996-06-01,4836
54,1996-07-01,4941
55,1996-08-01,5062
56,1996-09-01,4365
57,1996-10-01,5012
58,1996-11-01,4850
59,1996-12-01,5097
60,1997-01-01,3758
61,1997-02-01,3825
62,1997-03-01,4454
63,1997-04-01,4635
64,1997-05-01,5210
65,1997-06-01,5057
66,1997-07-01,5231
67,1997-08-01,5034
68,1997-09-01,4970
69,1997-10-01,5342
70,1997-11-01,4831
71,1997-12-01,5965
72,1998-01-01,3796
73,1998-02-01,4019
74,1998-03-01,4898
75,1998-04-01,5090
76,1998-05-01,5237
77,1998-06-01,5447
78,1998-07-01,5435
79,1998-08-01,5107
80,1998-09-01,5515
81,1998-10-01,5583
82,1998-11-01,5346
83,1998-12-01,6286
84,1999-01-01,4032
85,1999-02-01,4435
86,1999-03-01,5479
87,1999-04-01,5483
88,1999-05-01,5587
89,1999-06-01,6176
90,1999-07-01,5621
91,1999-08-01,5889
92,1999-09-01,5828
93,1999-10-01,5849
94,1999-11-01,6180
95,1999-12-01,6771
96,2000-01-01,4243
97,2000-02-01,4952
98,2000-03-01,6008
99,2000-04-01,5353
100,2000-05-01,6435
101,2000-06-01,6673
102,2000-07-01,5636
103,2000-08-01,6630
104,2000-09-01,5887
105,2000-10-01,6322
106,2000-11-01,6520
107,2000-12-01,6678
108,2001-01-01,5082
109,2001-02-01,5216
110,2001-03-01,5893
111,2001-04-01,5894
112,2001-05-01,6799
113,2001-06-01,6667
114,2001-07-01,6374
115,2001-08-01,6840
116,2001-09-01,5575
117,2001-10-01,6545
118,2001-11-01,6789
119,2001-12-01,7180
120,2002-01-01,5117
121,2002-02-01,5442
122,2002-03-01,6337
123,2002-04-01,6525
124,2002-05-01,7216
125,2002-06-01,6761
126,2002-07-01,6958
127,2002-08-01,7070
128,2002-09-01,6148
129,2002-10-01,6924
130,2002-11-01,6716
131,2002-12-01,7975
132,2003-01-01,5326
133,2003-02-01,5609
134,2003-03-01,6414
135,2003-04-01,6741
136,2003-05-01,7144
137,2003-06-01,7133
138,2003-07-01,7568
139,2003-08-01,7266
140,2003-09-01,6634
141,2003-10-01,7626
142,2003-11-01,6843
143,2003-12-01,8540
144,2004-01-01,5629
145,2004-02-01,5898
146,2004-03-01,7045
147,2004-04-01,7094
148,2004-05-01,7333
149,2004-06-01,7918
150,2004-07-01,7289
151,2004-08-01,7396
152,2004-09-01,7259
153,2004-10-01,7268
154,2004-11-01,7731
155,2004-12-01,9058
156,2005-01-01,5557
157,2005-02-01,6237
158,2005-03-01,7723
159,2005-04-01,7262
160,2005-05-01,8241
161,2005-06-01,8757
162,2005-07-01,7352
163,2005-08-01,8496
164,2005-09-01,7741
165,2005-10-01,7710
166,2005-11-01,8247
167,2005-12-01,8902
168,2006-01-01,6066
169,2006-02-01,6590
170,2006-03-01,7923
171,2006-04-01,7335
172,2006-05-01,8843
173,2006-06-01,9327
174,2006-07-01,7792
175,2006-08-01,9156
176,2006-09-01,8037
177,2006-10-01,8640
178,2006-11-01,9128
179,2006-12-01,9545
180,2007-01-01,6627
181,2007-02-01,6743
182,2007-03-01,8195
183,2007-04-01,7828
184,2007-05-01,9570
185,2007-06-01,9484
186,2007-07-01,8608
187,2007-08-01,9543
188,2007-09-01,8123
189,2007-10-01,9649
190,2007-11-01,9390
191,2007-12-01,10065
192,2008-01-01,7093
193,2008-02-01,7483
194,2008-03-01,8365
195,2008-04-01,8895
196,2008-05-01,9794
197,2008-06-01,9977
198,2008-07-01,9553
199,2008-08-01,9375
200,2008-09-01,9225
201,2008-10-01,9948
202,2008-11-01,8758
203,2008-12-01,10839
204,2009-01-01,7266
205,2009-02-01,7578
206,2009-03-01,8688
207,2009-04-01,9162
208,2009-05-01,9369
209,2009-06-01,10167
210,2009-07-01,9507
211,2009-08-01,8923
212,2009-09-01,9272
213,2009-10-01,9075
214,2009-11-01,8949
215,2009-12-01,10843
216,2010-01-01,6558
217,2010-02-01,7481
218,2010-03-01,9475
219,2010-04-01,9424
220,2010-05-01,9351
221,2010-06-01,10552
222,2010-07-01,9077
223,2010-08-01,9273
224,2010-09-01,9420
225,2010-10-01,9413
226,2010-11-01,9866
227,2010-12-01,11455
228,2011-01-01,6901
229,2011-02-01,8014
230,2011-03-01,9832
231,2011-04-01,9281
232,2011-05-01,9967
233,2011-06-01,11344
234,2011-07-01,9106
235,2011-08-01,10469
236,2011-09-01,10085
237,2011-10-01,9612
238,2011-11-01,10328
239,2011-12-01,11483
240,2012-01-01,7486
241,2012-02-01,8641
242,2012-03-01,9709
243,2012-04-01,9423
244,2012-05-01,11342
245,2012-06-01,11274
246,2012-07-01,9845
247,2012-08-01,11163
248,2012-09-01,9532
249,2012-10-01,10754
250,2012-11-01,10953
251,2012-12-01,11922
252,2013-01-01,8395
253,2013-02-01,8888
254,2013-03-01,10110
